Programs I use as of writing this.

File Manager; ranger

Terminal; https://github.com/AlopexTMNT/st

Window manager; dwm

Text editor; vim

Music and video player; mpv

Photo viewer; sxiv

Photo editor; gimp

PDF viewer; zathura

DWM status bar; slstatus

font; ttf-font-awesome

Web browser; firefox

System monitor; htop

Wallpaper; nitrogen

Unicode Support etc; rxvt-unicode

Wallpapers; https://gitlab.com/dwt1/wallpapers.git / https://github.com/AlopexTMNT/wallpapers

Network-Manager dmenu; networkmanager-dmenu-git

Latex; texlive-most texlive-lang

aur helper; https://aur.archlinux.org/yay.git

Other; unclutter xf86-video-intel xclip
